Alg,Makespan,Throughput,ARUR
MinMin,5764.3137,0.1301,0.9316
MaxMin,5377.3333,0.1395,0.9989
GA-1x,6920.8889,0.1084,0.7759
GA-5x,6130.0000,0.1223,0.8756
GA-10x,5989.5000,0.1252,0.8957
GA-15x,5901.7778,0.1271,0.9097
GA-20x,5838.4000,0.1285,0.9197
GA-25x,5768.5714,0.1300,0.9300
GA-30x,5720.0000,0.1311,0.9384
GA-35x,5720.0000,0.1311,0.9384
GA-40x,5694.5098,0.1317,0.9428
GA-45x,5635.2174,0.1331,0.9526
GA-50x,5614.4186,0.1336,0.9568
GA-55x,5580.0000,0.1344,0.9630
GA-60x,5514.2857,0.1360,0.9750
GA-65x,5497.3333,0.1364,0.9778
GA-70x,5472.2449,0.1371,0.9825
GA-75x,5417.1429,0.1384,0.9919
GA-80x,5416.0784,0.1385,0.9920
GA-85x,5413.0769,0.1386,0.9923
GA-90x,5401.3333,0.1389,0.9945
GA-95x,5385.5000,0.1393,0.9974
GA-100x,5384.0000,0.1393,0.9976
FGA-1x,5377.3333,0.1395,0.9989
FGA-5x,5377.3333,0.1395,0.9989
FGA-10x,5377.3333,0.1395,0.9989
FGA-15x,5377.3333,0.1395,0.9989
FGA-20x,5377.3333,0.1395,0.9989
FGA-25x,5377.3333,0.1395,0.9989
FGA-30x,5377.3333,0.1395,0.9989
FGA-35x,5377.3333,0.1395,0.9989
FGA-40x,5377.3333,0.1395,0.9989
FGA-45x,5377.3333,0.1395,0.9989
FGA-50x,5377.3333,0.1395,0.9989
FGA-55x,5377.3333,0.1395,0.9989
FGA-60x,5377.3333,0.1395,0.9989
FGA-65x,5377.3333,0.1395,0.9989
FGA-70x,5377.3333,0.1395,0.9989
FGA-75x,5377.3333,0.1395,0.9989
FGA-80x,5377.3333,0.1395,0.9989
FGA-85x,5377.3333,0.1395,0.9989
FGA-90x,5377.3333,0.1395,0.9989
FGA-95x,5377.3333,0.1395,0.9989
FGA-100x,5377.3333,0.1395,0.9989
