Alg,Makespan,Throughput,ARUR
MinMin,1421.5385,0.1759,0.7056
MaxMin,1177.0588,0.2124,0.9862
GA-1x,7345.0000,0.0340,0.3014
GA-5x,6580.0000,0.0380,0.3300
GA-10x,4670.0000,0.0535,0.4183
GA-15x,3727.1429,0.0671,0.4937
GA-20x,3596.6667,0.0695,0.5008
GA-25x,3342.8571,0.0748,0.5280
GA-30x,2808.0000,0.0890,0.5897
GA-35x,2571.4286,0.0972,0.5727
GA-40x,2571.4286,0.0972,0.5727
GA-45x,2087.3333,0.1198,0.6577
GA-50x,1767.2727,0.1415,0.7491
GA-55x,1744.7059,0.1433,0.7448
GA-60x,1685.5556,0.1483,0.7581
GA-65x,1563.3333,0.1599,0.7465
GA-70x,1461.2903,0.1711,0.8196
GA-75x,1365.7143,0.1831,0.8662
GA-80x,1365.7143,0.1831,0.8662
GA-85x,1333.0769,0.1875,0.8865
GA-90x,1253.3333,0.1995,0.9382
GA-95x,1218.5714,0.2052,0.9536
GA-100x,1203.1818,0.2078,0.9645
FGA-1x,1177.0588,0.2124,0.9862
FGA-5x,1177.0588,0.2124,0.9862
FGA-10x,1177.0588,0.2124,0.9862
FGA-15x,1177.0588,0.2124,0.9862
FGA-20x,1177.0588,0.2124,0.9862
FGA-25x,1177.0588,0.2124,0.9862
FGA-30x,1177.0588,0.2124,0.9862
FGA-35x,1177.0588,0.2124,0.9862
FGA-40x,1177.0588,0.2124,0.9862
FGA-45x,1177.0588,0.2124,0.9862
FGA-50x,1177.0588,0.2124,0.9862
FGA-55x,1177.0588,0.2124,0.9862
FGA-60x,1177.0588,0.2124,0.9862
FGA-65x,1177.0588,0.2124,0.9862
FGA-70x,1177.0588,0.2124,0.9862
FGA-75x,1177.0588,0.2124,0.9862
FGA-80x,1177.0588,0.2124,0.9862
FGA-85x,1177.0588,0.2124,0.9862
FGA-90x,1177.0588,0.2124,0.9862
FGA-95x,1177.0588,0.2124,0.9862
FGA-100x,1177.0588,0.2124,0.9862
