Alg,Makespan,Throughput,ARUR
MinMin,3763.9024,0.1328,0.9118
MaxMin,3425.3061,0.1460,0.9988
GA-1x,4153.1818,0.1204,0.8277
GA-5x,3738.8462,0.1337,0.9178
GA-10x,3665.2830,0.1364,0.9365
GA-15x,3628.5185,0.1378,0.9450
GA-20x,3569.7674,0.1401,0.9596
GA-25x,3506.9565,0.1426,0.9758
GA-30x,3473.0000,0.1440,0.9848
GA-35x,3456.5957,0.1447,0.9894
GA-40x,3447.7778,0.1450,0.9921
GA-45x,3447.3077,0.1450,0.9925
GA-50x,3437.6744,0.1454,0.9953
GA-55x,3437.6744,0.1454,0.9953
GA-60x,3436.5385,0.1455,0.9955
GA-65x,3436.5385,0.1455,0.9955
GA-70x,3436.5385,0.1455,0.9955
GA-75x,3436.5385,0.1455,0.9955
GA-80x,3436.5385,0.1455,0.9955
GA-85x,3436.5385,0.1455,0.9955
GA-90x,3436.5385,0.1455,0.9955
GA-95x,3433.3333,0.1456,0.9965
GA-100x,3430.6122,0.1457,0.9973
FGA-1x,3425.3061,0.1460,0.9988
FGA-5x,3425.3061,0.1460,0.9988
FGA-10x,3425.3061,0.1460,0.9988
FGA-15x,3425.3061,0.1460,0.9988
FGA-20x,3425.3061,0.1460,0.9988
FGA-25x,3425.3061,0.1460,0.9988
FGA-30x,3425.3061,0.1460,0.9988
FGA-35x,3425.3061,0.1460,0.9988
FGA-40x,3425.3061,0.1460,0.9988
FGA-45x,3425.3061,0.1460,0.9988
FGA-50x,3425.3061,0.1460,0.9988
FGA-55x,3425.3061,0.1460,0.9988
FGA-60x,3425.3061,0.1460,0.9988
FGA-65x,3425.3061,0.1460,0.9988
FGA-70x,3425.3061,0.1460,0.9988
FGA-75x,3425.3061,0.1460,0.9988
FGA-80x,3425.3061,0.1460,0.9988
FGA-85x,3425.3061,0.1460,0.9988
FGA-90x,3425.3061,0.1460,0.9988
FGA-95x,3425.3061,0.1460,0.9988
FGA-100x,3425.3061,0.1460,0.9988
