Alg,Makespan,Throughput,ARUR
MinMin,5308.4000,0.1884,0.8913
MaxMin,5069.2000,0.1973,0.9985
GA-1x,47295.0000,0.0211,0.2036
GA-5x,24735.0000,0.0404,0.3383
GA-10x,20330.0000,0.0492,0.3887
GA-15x,16210.0000,0.0617,0.4578
GA-20x,14810.0000,0.0675,0.4828
GA-25x,11220.0000,0.0891,0.5954
GA-30x,10746.6667,0.0931,0.6067
GA-35x,9491.6667,0.1054,0.6674
GA-40x,8773.3333,0.1140,0.7044
GA-45x,7750.0000,0.1290,0.7705
GA-50x,7628.5714,0.1311,0.7780
GA-55x,7295.7143,0.1371,0.7778
GA-60x,6894.0000,0.1451,0.8295
GA-65x,6720.0000,0.1488,0.8436
GA-70x,6478.3333,0.1544,0.8574
GA-75x,6217.1429,0.1608,0.8812
GA-80x,6094.0000,0.1641,0.8954
GA-85x,6094.0000,0.1641,0.8954
GA-90x,6061.6667,0.1650,0.8872
GA-95x,5961.6667,0.1677,0.9076
GA-100x,5844.4737,0.1711,0.9097
FGA-1x,5069.2000,0.1973,0.9985
FGA-5x,5069.2000,0.1973,0.9985
FGA-10x,5069.2000,0.1973,0.9985
FGA-15x,5069.2000,0.1973,0.9985
FGA-20x,5069.2000,0.1973,0.9985
FGA-25x,5069.2000,0.1973,0.9985
FGA-30x,5069.2000,0.1973,0.9985
FGA-35x,5069.2000,0.1973,0.9985
FGA-40x,5069.2000,0.1973,0.9985
FGA-45x,5069.2000,0.1973,0.9985
FGA-50x,5069.2000,0.1973,0.9985
FGA-55x,5069.2000,0.1973,0.9985
FGA-60x,5069.2000,0.1973,0.9985
FGA-65x,5069.2000,0.1973,0.9985
FGA-70x,5069.2000,0.1973,0.9985
FGA-75x,5069.2000,0.1973,0.9985
FGA-80x,5069.2000,0.1973,0.9985
FGA-85x,5069.2000,0.1973,0.9985
FGA-90x,5069.2000,0.1973,0.9985
FGA-95x,5069.2000,0.1973,0.9985
FGA-100x,5069.2000,0.1973,0.9985
