Alg,Makespan,Throughput,ARUR
MinMin,7289.7778,0.1372,0.9360
MaxMin,6830.0000,0.1464,0.9992
GA-1x,8170.0000,0.1224,0.8367
GA-5x,7390.1887,0.1353,0.9243
GA-10x,7142.7907,0.1400,0.9564
GA-15x,7019.6078,0.1425,0.9727
GA-20x,6936.7273,0.1442,0.9847
GA-25x,6894.6341,0.1450,0.9905
GA-30x,6872.6087,0.1455,0.9935
GA-35x,6858.4000,0.1458,0.9949
GA-40x,6846.1538,0.1461,0.9967
GA-45x,6846.1538,0.1461,0.9967
GA-50x,6842.8000,0.1461,0.9972
GA-55x,6837.8261,0.1462,0.9980
GA-60x,6837.8261,0.1462,0.9980
GA-65x,6837.8261,0.1462,0.9980
GA-70x,6837.8261,0.1462,0.9980
GA-75x,6837.8261,0.1462,0.9980
GA-80x,6837.8261,0.1462,0.9980
GA-85x,6837.8261,0.1462,0.9980
GA-90x,6837.8261,0.1462,0.9980
GA-95x,6837.8261,0.1462,0.9980
GA-100x,6837.8261,0.1462,0.9980
FGA-1x,6830.0000,0.1464,0.9992
FGA-5x,6830.0000,0.1464,0.9992
FGA-10x,6830.0000,0.1464,0.9992
FGA-15x,6830.0000,0.1464,0.9992
FGA-20x,6830.0000,0.1464,0.9992
FGA-25x,6830.0000,0.1464,0.9992
FGA-30x,6830.0000,0.1464,0.9992
FGA-35x,6830.0000,0.1464,0.9992
FGA-40x,6830.0000,0.1464,0.9992
FGA-45x,6830.0000,0.1464,0.9992
FGA-50x,6830.0000,0.1464,0.9992
FGA-55x,6830.0000,0.1464,0.9992
FGA-60x,6830.0000,0.1464,0.9992
FGA-65x,6830.0000,0.1464,0.9992
FGA-70x,6830.0000,0.1464,0.9992
FGA-75x,6830.0000,0.1464,0.9992
FGA-80x,6830.0000,0.1464,0.9992
FGA-85x,6830.0000,0.1464,0.9992
FGA-90x,6830.0000,0.1464,0.9992
FGA-95x,6830.0000,0.1464,0.9992
FGA-100x,6830.0000,0.1464,0.9992
