Alg,Makespan,Throughput,ARUR
MinMin,5375.7143,0.0930,0.8090
MaxMin,4790.0000,0.1044,0.9961
GA-1x,25095.0000,0.0199,0.2948
GA-5x,16045.0000,0.0312,0.4239
GA-10x,9511.0000,0.0526,0.6425
GA-15x,8590.0000,0.0582,0.6790
GA-20x,7516.2500,0.0665,0.7501
GA-25x,6870.0000,0.0728,0.8024
GA-30x,6540.0000,0.0765,0.8248
GA-35x,6320.0000,0.0791,0.8459
GA-40x,6155.5000,0.0812,0.8461
GA-45x,5815.5000,0.0860,0.8631
GA-50x,5473.8462,0.0913,0.9000
GA-55x,5324.0000,0.0939,0.9270
GA-60x,5300.6667,0.0943,0.9311
GA-65x,5215.5000,0.0959,0.9430
GA-70x,5146.0000,0.0972,0.9551
GA-75x,5122.3333,0.0976,0.9564
GA-80x,5078.5000,0.0985,0.9614
GA-85x,5055.0000,0.0989,0.9624
GA-90x,5015.0000,0.0997,0.9697
GA-95x,4967.5000,0.1007,0.9749
GA-100x,4937.5000,0.1013,0.9726
FGA-1x,4790.0000,0.1044,0.9961
FGA-5x,4790.0000,0.1044,0.9961
FGA-10x,4790.0000,0.1044,0.9961
FGA-15x,4790.0000,0.1044,0.9961
FGA-20x,4790.0000,0.1044,0.9961
FGA-25x,4790.0000,0.1044,0.9961
FGA-30x,4790.0000,0.1044,0.9961
FGA-35x,4790.0000,0.1044,0.9961
FGA-40x,4790.0000,0.1044,0.9961
FGA-45x,4790.0000,0.1044,0.9961
FGA-50x,4790.0000,0.1044,0.9961
FGA-55x,4790.0000,0.1044,0.9961
FGA-60x,4790.0000,0.1044,0.9961
FGA-65x,4790.0000,0.1044,0.9961
FGA-70x,4790.0000,0.1044,0.9961
FGA-75x,4790.0000,0.1044,0.9961
FGA-80x,4790.0000,0.1044,0.9961
FGA-85x,4790.0000,0.1044,0.9961
FGA-90x,4790.0000,0.1044,0.9961
FGA-95x,4790.0000,0.1044,0.9961
FGA-100x,4790.0000,0.1044,0.9961
