Alg,Makespan,Throughput,ARUR
MinMin,2602.5000,0.0961,0.7380
MaxMin,2211.2500,0.1131,0.9934
GA-1x,9410.0000,0.0266,0.3548
GA-5x,7805.0000,0.0320,0.4056
GA-10x,6231.6667,0.0401,0.4704
GA-15x,5340.0000,0.0468,0.5343
GA-20x,4228.3333,0.0591,0.6276
GA-25x,3620.0000,0.0691,0.7192
GA-30x,3466.0000,0.0721,0.7189
GA-35x,3175.0000,0.0787,0.7754
GA-40x,3029.5000,0.0825,0.7950
GA-45x,2990.0000,0.0836,0.8042
GA-50x,2862.0000,0.0874,0.8251
GA-55x,2811.6667,0.0889,0.8319
GA-60x,2654.2308,0.0942,0.8484
GA-65x,2650.0000,0.0943,0.8499
GA-70x,2508.3333,0.0997,0.8742
GA-75x,2492.0000,0.1003,0.8771
GA-80x,2375.0000,0.1053,0.9327
GA-85x,2375.0000,0.1053,0.9327
GA-90x,2375.0000,0.1053,0.9327
GA-95x,2375.0000,0.1053,0.9327
GA-100x,2375.0000,0.1053,0.9327
FGA-1x,2211.2500,0.1131,0.9934
FGA-5x,2211.2500,0.1131,0.9934
FGA-10x,2211.2500,0.1131,0.9934
FGA-15x,2211.2500,0.1131,0.9934
FGA-20x,2211.2500,0.1131,0.9934
FGA-25x,2211.2500,0.1131,0.9934
FGA-30x,2211.2500,0.1131,0.9934
FGA-35x,2211.2500,0.1131,0.9934
FGA-40x,2211.2500,0.1131,0.9934
FGA-45x,2211.2500,0.1131,0.9934
FGA-50x,2211.2500,0.1131,0.9934
FGA-55x,2211.2500,0.1131,0.9934
FGA-60x,2211.2500,0.1131,0.9934
FGA-65x,2211.2500,0.1131,0.9934
FGA-70x,2211.2500,0.1131,0.9934
FGA-75x,2211.2500,0.1131,0.9934
FGA-80x,2211.2500,0.1131,0.9934
FGA-85x,2211.2500,0.1131,0.9934
FGA-90x,2211.2500,0.1131,0.9934
FGA-95x,2211.2500,0.1131,0.9934
FGA-100x,2211.2500,0.1131,0.9934
